time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-14T15:55:39.554Z,12.1787,-87.8893,35,4.3,mb,,199,0.992,0.4,us,us6000aevm,2020-06-22T19:43:58.040Z,"78km SW of Jiquilillo, Nicaragua",earthquake,4.7,2,0.092,34,reviewed,us,us
2020-06-14T15:48:50.427Z,-3.3324,126.0684,7.44,4.3,mb,,56,4.003,0.41,us,us6000aevl,2020-06-22T19:29:38.040Z,"48km SW of Airbuaya, Indonesia",earthquake,7.3,3.7,0.138,15,reviewed,us,us
2020-06-14T15:21:13.762Z,40.5261,144.9566,10,4.3,mb,,149,2.972,0.62,us,us6000aevy,2020-06-22T19:16:59.040Z,"274km ENE of Miyako, Japan",earthquake,6,1.9,0.202,7,reviewed,us,us
2020-06-14T15:16:00.117Z,-3.8877,138.0299,58.11,4,mb,,111,2.998,0.69,us,us6000aew9,2020-06-22T18:54:48.040Z,"186km E of Enarotali, Indonesia",earthquake,9.5,8.3,0.211,8,reviewed,us,us
2020-06-14T15:12:12.137Z,-6.9999,128.9397,184.5,4.3,mb,,82,2.534,0.63,us,us6000aevw,2020-06-22T18:40:12.040Z,"282km WNW of Saumlaki, Indonesia",earthquake,9.8,8.8,0.2,7,reviewed,us,us
2020-06-14T15:09:18.396Z,39.3717,40.7449,10,4.5,mb,,31,0.673,0.71,us,us6000abpe,2020-06-22T18:27:08.040Z,"18km ESE of Yedisu, Turkey",earthquake,4.5,1.8,0.07,60,reviewed,us,us
2020-06-14T14:47:34.455Z,-3.1796,125.9606,55.58,4.8,mb,,50,3.829,0.89,us,us6000abpa,2020-06-22T18:24:21.040Z,"53km W of Airbuaya, Indonesia",earthquake,7.6,4.6,0.111,25,reviewed,us,us
2020-06-14T14:43:08.390Z,23.3821,70.3548,10,5.1,mb,,40,11.178,0.74,us,us6000abp7,2020-06-22T18:15:14.628Z,"10km N of Bhachau, India",earthquake,8.9,1.8,0.036,255,reviewed,us,us
2020-06-14T14:34:50.289Z,39.417,40.7508,10,4.5,mb,,71,0.631,0.89,us,us6000abp5,2020-06-22T18:10:20.040Z,"17km E of Yedisu, Turkey",earthquake,4.7,1.5,0.101,29,reviewed,us,us
2020-06-14T14:31:01.835Z,-10.3254,161.3697,82.18,4.4,mb,,59,1.655,0.39,us,us6000aevk,2020-06-22T17:23:27.040Z,"61km WNW of Kirakira, Solomon Islands",earthquake,10.7,7.6,0.112,23,reviewed,us,us
2020-06-14T14:24:29.479Z,39.4317,40.7076,10,5.9,mww,,24,0.607,0.67,us,us6000abnv,2020-07-23T18:57:01.040Z,"14 km E of Yedisu, Turkey",earthquake,4.8,1.8,0.039,64,reviewed,us,us
2020-06-14T14:24:07.773Z,-19.6567,-177.3314,555.36,4.6,mb,,80,4.77,0.54,us,us6000abpc,2020-06-22T14:39:24.040Z,"180km NE of Ndoi Island, Fiji",earthquake,10.1,6.3,0.034,260,reviewed,us,us
2020-06-14T14:14:03.500Z,17.845,-66.7943,7,2.55,md,18,219,0.1553,0.17,pr,pr2020166013,2020-06-14T14:38:05.948Z,"16km S of Indios, Puerto Rico",earthquake,0.56,0.32,0.28,10,reviewed,pr,pr
2020-06-14T13:27:55.067Z,53.2019,-164.398,10,3.9,mb,,175,1.194,0.59,us,us6000abnk,2020-06-28T13:25:03.040Z,"138km SE of Akutan, Alaska",earthquake,4.7,1.9,0.068,57,reviewed,us,us
2020-06-14T13:25:23.407Z,2.7393,128.2631,121.1,4.9,mww,,73,2.149,0.9,us,us6000abnj,2020-06-21T20:24:47.040Z,"115km NNE of Tobelo, Indonesia",earthquake,7,5.2,0.093,11,reviewed,us,us
2020-06-14T13:25:05.394Z,53.2645,-164.401,4.61,3.1,ml,,205,1.145,0.36,us,us7000aakt,2020-06-28T13:22:54.040Z,"132km SE of Akutan, Alaska",earthquake,6.4,5,0.097,14,reviewed,us,us
2020-06-14T13:12:11.578Z,56.748,-154.7641,1.8,2.5,ml,,,,0.49,ak,ak0207mr0ubj,2020-06-28T13:28:56.040Z,"105km SSW of Larsen Bay, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2020-06-14T12:46:38.110Z,17.9291,-66.9356,12,3.43,md,25,214,0.0728,0.15,pr,pr2020166012,2020-06-24T12:48:19.510Z,"12km S of Guanica, Puerto Rico",earthquake,0.62,0.4,0.19,23,reviewed,pr,pr
2020-06-14T12:16:09.313Z,53.0415,-164.5198,35,2.7,ml,,243,1.28,0.18,us,us7000aakr,2020-07-24T05:31:13.040Z,"147 km SE of Akutan, Alaska",earthquake,6,2,0.097,14,reviewed,us,us
2020-06-14T12:11:37.617Z,44.2753,-115.048,7.64,4.2,mwr,,35,0.847,0.92,us,us6000abmx,2020-07-24T05:23:54.040Z,"10 km NW of Stanley, Idaho",earthquake,2.3,4.6,0.036,75,reviewed,us,us
2020-06-14T12:04:43.000Z,-18.1967,169.0998,236.72,4.4,mb,,76,3.282,0.69,us,us6000aevs,2020-06-24T12:43:25.040Z,"97km ESE of Port-Vila, Vanuatu",earthquake,9.9,9.2,0.12,20,reviewed,us,us
2020-06-14T11:30:07.129Z,-6.3936,154.5529,12.64,4.3,mb,,95,3.232,0.3,us,us6000aevj,2020-06-24T12:38:46.040Z,"103km W of Panguna, Papua New Guinea",earthquake,9.3,5.1,0.143,14,reviewed,us,us
2020-06-14T11:22:46.198Z,9.5142,-39.9058,10,4.5,mb,,73,13.37,0.5,us,us6000aevi,2020-06-24T12:35:45.040Z,"Central Mid-Atlantic Ridge",earthquake,6.6,1.9,0.106,26,reviewed,us,us
2020-06-14T10:38:41.605Z,51.5025,-179.9507,81.75,2.6,ml,,170,0.485,0.31,us,us7000aakq,2020-07-08T04:54:52.040Z,"233 km WSW of Adak, Alaska",earthquake,5,7.3,0.128,8,reviewed,us,us
2020-06-14T10:26:22.640Z,44.7223333,-110.8775,7.17,2.8,ml,26,81,0.06546,0.17,uu,uu60396447,2020-06-24T11:09:00.040Z,"18km ENE of West Yellowstone, Montana",earthquake,0.29,0.6,0.292,5,reviewed,uu,uu
2020-06-14T09:55:28.150Z,18.0263,-66.7538,10,2.57,md,20,109,0.1354,0.11,pr,pr2020166011,2020-06-14T10:19:57.790Z,"1km ENE of Magas Arriba, Puerto Rico",earthquake,0.22,0.35,0.19,17,reviewed,pr,pr
2020-06-14T09:18:35.600Z,17.9183,-66.9425,13,2.99,md,22,222,0.085,0.14,pr,pr2020166010,2020-06-14T09:43:29.222Z,"6km SSW of Guanica, Puerto Rico",earthquake,0.76,0.33,0.19,19,reviewed,pr,pr
2020-06-14T08:34:22.580Z,62.7214,-149.3864,58.7,2.7,ml,,,,0.61,ak,ak0207mo6evp,2020-07-10T06:56:19.040Z,"56km NE of Talkeetna, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-06-14T07:52:52.113Z,18.3045,-76.6785,10,4,mb,,79,0.817,0.51,us,us6000abld,2020-07-10T06:53:06.388Z,"8 km NNW of Buff Bay, Jamaica",earthquake,5.3,1.1,0.211,6,reviewed,us,us
2020-06-14T06:33:37.160Z,17.9378,-66.9636,13,2.67,md,23,212,0.0866,0.13,pr,pr2020166007,2020-06-14T07:42:39.567Z,"6km WSW of Guanica, Puerto Rico",earthquake,0.53,0.3,0.19,13,reviewed,pr,pr
